仕入先コード,仕入先名,住所１,住所２,電話番号,担当者,支払条件,仕入先見積税区分,紹介文,備考
NKH,NIKI HILLS,,,,,,,,
NAO,Nao-buns,,,,,,,,
NNS,にんにく種蔵,〒060-0062,北海道札幌市中央区南２条西１丁目５−６ 第2広和ビル,090-2035-0229,佐藤,月末締翌月末払い,内税,北海道初のにんにく専門セレクトショップ。自社農園のダイヤモンドにんにくをはじめ、全国より厳選したにんにく商品を取り扱うにんにく専門店です。,
HNM,ほんま,,,,,,,,
SZS,サザエ食品,,,,,,,,
JEN,ジョーエンタープライズ,,,,,,,,
TKP,トカプコーヒー,,,,,,,,
HRK,ハリカ,,,,,,,,
VGW,ベジタブルワークス,,,,,,,,
MTY,マルトシ吉野商店,,,,,,,,
IHS,井原水産,,,,,,,,
HBJ,北海道美女物語,,,,,,,,
HOY,北王よいち,,,,,,,,
OKK,小樽かね丁鍛冶,,,,,,,,
YSS,山下水産,,,,,,,,
UMY,梅屋,,,,,,,,
YSD,野菜田,,,,,,,,
SKK,三海幸,,,,,,,,
TAH,月寒あんぱん本舗,,,,,,,,
THG,十勝ハーブ牛(ノベルズ食品),,,,,,,,
BWG,びえい和牛(ファームズ千代田),,,,,,,,
HKM,北海道名販,,,,,,,,
WRK,わらく堂,,,,,,,,
NKE,南華園,,,,,,,,
MRI,丸市,,,,,,,,
NBT,NORTH BOAT,,,,,,,,
UGP,うんがぷらす,,,,,,,,
MFZ,エムフローズン,,,,,,,,
LTS,リトルスプーン,,,,,,,,
EKS,栄興食品,,,,,,,,
KGU,北前吟撰(うんがぷらす),,,,,,,,
FJI,FUJI,,,,,,,,
ABF,ABE FARM,,,,,,,,
GGM,GOODGOOD,,,,,,,,
GRS,五島列島酒造,,,,,,,,
NVP,ニセコビュープラザ,,,,,,,,
HAK,北見ハッカ通商,〒090-0056,北海道北見市卸町1丁目7-3,0157-66-5655,吉田,前金,,"「北のかおり ハッカ油」でおなじみ、北見ハッカ通商です。紀元前から人々の生活に計り知れない役割を果たしてきた「天然ハッカ」は、かつて世界シェアの70％以上を北見地方で生産していた時代がありました。
この古き良き「ハッカ隆盛時代」の後、時代の変化とともに世界に誇った「ホクレン北見薄荷工場」も閉鎖。すっかり影を潜めてしまった「北見の天然ハッカ」を、今私たち北見ハッカ通商が復元しています。",
CSG,CHISE GARDEN,〒048-1542,北海道虻田郡ニセコ町字近藤８１７,090-1302-4156,平手千津子,月末締翌月末払い,,北海道ニセコ町にてワインぶどう無農薬、無化学肥料で野菜やベリーを生産加工販売しています 山野草・宿根草を中心としたガーデンづくりに奮闘中です！,
HAD,白亜ダイシン,〒068-0833 ,北海道岩見沢市志文町292-4,0120-70-6003,,,,ノースファームストックには「北海道のおいしいものを蔵出しで」、という思いが込められています。自分たちの目の届く範囲で産地や生産者とつながり、良質な素材をすべて手づくりするのが基本。原点を守ることで、北海道のぬくもりや、やさしさもお伝えしたいのです。また、その思いから商品名に「北海道」を冠しています。,
